trajectory_id,client_id,coach_id,true_fit,alliance,motivation,need_competency_alignment,true_competence_primary,personality_sim,satisfaction_true_1_10,goal_true_1_10,dropout
T00297,K00428,C0117,0.6013,0.4774,0.3989,1.0,0.4618,0.9093,5,8,False
T00298,K00252,C0080,0.7585,0.6912,0.5869,1.0,0.6273,0.9864,7,8,False
T00299,K00194,C0090,0.4857,0.3815,0.6145,1.0,0.1063,0.8797,4,8,False
T00300,K00323,C0002,0.5,0.4369,0.3375,1.0,0.622,0.9719,4,8,False
T00301,K00065,C0111,0.544,0.5437,0.8368,0.75,0.6158,0.9208,6,7,False
T00302,K00628,C0088,0.7018,0.5089,0.4691,0.75,0.5919,0.8227,6,7,False
T00303,K00562,C0063,0.5948,0.467,0.3044,1.0,0.5504,0.9125,4,7,False
T00304,K00591,C0101,0.3803,0.3538,0.5787,1.0,0.5686,0.8751,4,8,False
T00305,K00058,C0067,0.7768,0.346,0.1683,1.0,0.5637,0.9648,4,7,False
T00306,K00337,C0085,0.5436,0.1371,0.251,1.0,0.7735,0.9762,3,7,False
T00307,K00610,C0072,0.6161,0.5398,0.8463,1.0,0.2506,0.9867,6,9,True
T00308,K00020,C0013,0.7551,0.6614,0.8617,1.0,0.7336,0.7856,7,8,False
T00309,K00514,C0084,0.6887,0.3622,0.6031,0.8333,0.4192,0.9526,5,10,False
T00310,K00519,C0088,0.5456,0.2625,0.2797,1.0,0.5919,0.9623,3,6,False
T00311,K00481,C0005,0.7467,0.4354,0.7466,1.0,0.5118,0.9466,5,9,False
T00312,K00412,C0037,0.312,0.4758,0.9531,0.875,0.6155,0.9316,4,8,False
T00313,K00172,C0094,0.7241,0.533,0.4746,1.0,0.2578,0.7702,6,7,False
T00314,K00089,C0107,0.7642,0.5152,0.7591,0.8333,0.513,0.9341,6,7,True
T00315,K00169,C0033,0.5169,0.3254,0.6599,1.0,0.2507,0.8776,5,7,False
T00316,K00383,C0049,0.8398,0.4634,0.3088,1.0,0.642,0.9181,5,7,False
T00317,K00452,C0039,0.7507,0.4159,0.1823,1.0,0.2504,0.966,6,6,False
T00318,K00237,C0068,0.4306,0.5036,0.8555,0.75,0.676,0.8877,6,7,False
T00319,K00018,C0039,0.298,0.1604,0.8646,0.6667,0.0411,0.9858,3,6,False
T00320,K00340,C0095,0.7135,0.7169,0.9067,1.0,0.7331,0.9183,7,8,False
T00321,K00260,C0039,0.8036,0.6033,0.4208,1.0,0.2408,0.8712,6,8,False
T00322,K00458,C0114,0.5299,0.4073,0.5561,1.0,0.2468,0.8445,4,9,False
T00323,K00197,C0068,0.6203,0.3056,0.669,1.0,0.6102,0.8299,5,8,False
T00324,K00331,C0083,0.3823,0.6254,0.8835,0.375,0.1728,0.97,6,6,False
T00325,K00162,C0040,0.6863,0.5199,0.8212,0.75,0.6862,0.9026,5,7,False
T00326,K00468,C0072,0.7134,0.5319,0.5497,1.0,0.4356,0.8941,5,9,False
T00327,K00476,C0036,0.8184,0.6287,0.5987,1.0,0.5764,0.8659,6,9,False
T00328,K00027,C0093,0.533,0.4649,0.7006,0.875,0.3275,0.9639,5,8,True
T00329,K00114,C0031,0.4821,0.6286,0.6466,1.0,0.1852,0.8353,5,7,False
T00330,K00401,C0103,0.7723,0.6848,0.8884,1.0,0.7432,0.9597,8,9,False
T00331,K00524,C0008,0.8307,0.6271,0.648,1.0,0.5669,0.9412,8,9,False
T00332,K00357,C0019,0.4244,0.4544,0.7293,1.0,0.6336,0.9122,6,8,False
T00333,K00006,C0031,0.4537,0.3175,0.5451,0.8333,0.1852,0.9585,3,8,False
T00334,K00247,C0006,0.6641,0.4155,0.6625,1.0,0.6445,0.9684,5,8,False
T00335,K00498,C0119,0.5765,0.5213,0.8272,1.0,0.0916,0.9168,6,10,False
T00336,K00345,C0071,0.2045,0.4296,0.6747,0.75,0.2298,0.9754,4,8,False
T00337,K00050,C0045,0.6712,0.4182,0.4839,1.0,0.7126,0.8739,5,7,False
T00338,K00574,C0094,0.3778,0.2774,0.2464,0.75,0.3683,0.815,3,5,False
T00339,K00211,C0094,0.6255,0.3925,0.2589,1.0,0.2578,0.814,4,7,False
T00340,K00112,C0029,0.679,0.5061,0.7018,1.0,0.5823,0.8646,6,9,True
T00341,K00350,C0022,0.7489,0.694,0.8545,1.0,0.5559,0.8621,6,8,False
T00342,K00168,C0015,0.5119,0.3786,0.4542,0.6667,0.581,0.8764,4,6,False
T00343,K00566,C0114,0.779,0.3121,0.3117,1.0,0.3236,0.908,4,8,False
T00344,K00521,C0084,0.8218,0.4886,0.4517,0.75,0.4192,0.7941,6,5,False
T00345,K00552,C0116,0.5755,0.3469,0.468,1.0,0.3323,0.925,4,7,False
T00346,K00213,C0094,0.6786,0.3706,0.2881,1.0,0.2578,0.7552,5,8,False
T00347,K00448,C0056,0.529,0.6301,0.7187,1.0,0.567,0.8951,6,9,False
T00348,K00501,C0097,0.8166,0.5146,0.7327,1.0,0.6437,0.9924,6,8,False
T00349,K00369,C0114,0.3589,0.5046,0.8302,0.6667,0.1733,0.8903,5,9,False
T00350,K00052,C0001,0.5928,0.5169,0.3357,1.0,0.7166,0.8064,5,8,True
T00351,K00084,C0046,0.9007,0.6079,0.7128,1.0,0.8995,0.8708,7,9,False
T00352,K00226,C0039,0.7891,0.5927,0.5632,1.0,0.2408,0.8305,6,8,False
T00353,K00515,C0045,0.2905,0.1704,0.239,0.3333,0.635,0.8729,3,4,False
T00354,K00649,C0006,0.6321,0.4866,0.733,0.75,0.6445,0.8023,5,7,False
T00355,K00184,C0113,0.792,0.5522,0.6002,0.8333,0.2064,0.9038,6,8,False
T00356,K00585,C0065,0.3672,0.3091,0.444,1.0,0.3575,0.8929,3,8,True
T00357,K00010,C0073,0.5047,0.2499,0.3679,1.0,0.4327,0.9137,4,9,True
T00358,K00523,C0100,0.2857,0.3129,0.3731,0.5,0.3374,0.9947,3,5,True
T00359,K00288,C0001,0.8648,0.6813,0.5041,1.0,0.7166,0.9319,6,7,False
T00360,K00343,C0012,0.5957,0.2896,0.5477,0.8333,0.6014,0.6458,5,7,False
T00361,K00590,C0034,0.7039,0.6938,0.7574,1.0,0.6993,0.9184,7,9,False
T00362,K00436,C0107,0.5317,0.5242,0.8566,0.75,0.4681,0.9106,6,7,True
T00363,K00478,C0073,0.8533,0.3341,0.1684,1.0,0.4377,0.8696,5,7,False
T00364,K00026,C0052,0.6823,0.5912,0.8729,1.0,0.5104,0.8265,6,9,False
T00365,K00289,C0106,0.6067,0.6055,0.8462,1.0,0.813,0.9304,6,9,False
T00366,K00116,C0072,0.7742,0.43,0.7285,1.0,0.4228,0.9456,7,9,False
T00367,K00414,C0096,0.6852,0.5423,0.6154,1.0,0.2015,0.9702,4,9,False
T00368,K00131,C0066,0.4992,0.2818,0.4568,1.0,0.2444,0.9441,4,8,False
T00369,K00025,C0058,0.2627,0.2785,0.7457,0.75,0.8374,0.9416,3,8,False
T00370,K00319,C0084,0.4615,0.2616,0.294,1.0,0.4192,0.8773,2,7,True
T00371,K00258,C0007,0.7884,0.454,0.361,1.0,0.6102,0.8706,5,7,False
T00372,K00465,C0101,0.4055,0.6569,0.8868,0.8333,0.5686,0.9078,7,8,False
T00373,K00245,C0011,0.5188,0.4487,0.5016,0.6667,0.5341,0.9094,5,6,False
T00374,K00035,C0025,0.3329,0.2968,0.463,0.875,0.3868,0.9091,4,7,False
T00375,K00101,C0030,0.6073,0.4617,0.5205,1.0,0.6724,0.8492,5,9,False
T00376,K00389,C0072,0.8831,0.7625,0.7912,1.0,0.4228,0.9447,7,8,False
T00377,K00509,C0108,0.6054,0.5331,0.7362,0.8333,0.3852,0.8765,6,7,False
T00378,K00001,C0071,0.7943,0.5931,0.3702,1.0,0.2298,0.9016,6,7,False
T00379,K00392,C0060,0.7157,0.846,0.7083,0.75,0.5958,0.9278,7,7,True
T00380,K00031,C0037,0.5441,0.3238,0.3266,0.75,0.6155,0.9406,4,6,False
T00381,K00367,C0067,0.8623,0.4531,0.3413,1.0,0.5637,0.8994,6,8,False
T00382,K00638,C0116,0.6297,0.5299,0.5549,1.0,0.3323,0.7658,6,7,False
T00383,K00616,C0007,0.877,0.567,0.5653,1.0,0.6328,0.858,6,10,False
T00384,K00200,C0060,0.8401,0.6665,0.8277,0.75,0.5958,0.8658,7,8,False
T00385,K00334,C0067,0.7928,0.5925,0.7004,1.0,0.5637,0.9248,7,8,False
T00386,K00435,C0076,0.5755,0.4212,0.5193,0.75,0.8752,0.8998,5,6,False
T00387,K00543,C0020,0.6639,0.3673,0.7039,0.375,0.2874,0.9517,5,5,False
T00388,K00305,C0080,0.9401,0.7022,0.8385,1.0,0.6273,0.9791,9,9,False
T00389,K00004,C0084,0.6663,0.5872,0.8628,0.8333,0.3213,0.9844,6,7,False
T00390,K00547,C0116,0.4957,0.3863,0.4218,1.0,0.4339,0.7088,4,8,False
T00391,K00531,C0107,0.6305,0.3961,0.4792,1.0,0.4681,0.89,5,8,False
T00392,K00230,C0076,0.7438,0.5633,0.7112,1.0,0.8752,0.8982,5,9,False
T00393,K00217,C0082,0.3496,0.4347,0.6967,1.0,0.5546,0.9616,4,8,False
T00394,K00099,C0039,0.8126,0.4829,0.8234,1.0,0.2504,0.9148,5,10,False
T00395,K00497,C0089,0.3975,0.4801,0.6536,0.3333,0.4212,0.9281,5,4,False
T00396,K00589,C0088,0.4838,0.3251,0.3396,0.75,0.5919,0.9806,4,7,False
T00397,K00215,C0101,0.5072,0.6147,0.5667,1.0,0.5686,0.9229,6,8,False
T00398,K01319,C0049,0.5575,0.5993,0.5969,0.5,0.642,0.7659,5,6,False
T00399,K00698,C0049,0.9295,0.6194,0.6159,1.0,0.2053,0.9376,6,10,False
T00400,K01190,C0094,0.8181,0.535,0.6769,1.0,0.2578,0.8338,7,9,True
T00401,K01472,C0072,0.8969,0.8132,0.722,1.0,0.4356,0.9755,7,9,False
T00402,K01036,C0027,0.4364,0.4795,0.8163,0.75,0.3074,0.8619,5,8,False
T00403,K00794,C0043,0.0635,0.2744,0.8844,0.0,0.2417,0.9452,2,3,True
T00404,K00845,C0120,0.331,0.367,0.5585,1.0,0.2787,0.9007,4,8,True
T00405,K01395,C0021,0.5929,0.6627,0.8259,1.0,0.4724,0.9526,8,8,False
T00406,K01028,C0084,0.4189,0.2915,0.5348,0.8333,0.4192,0.9173,4,8,False
T00407,K01493,C0090,0.4737,0.4248,0.905,0.75,0.556,0.9522,5,7,False
T00408,K00732,C0025,0.4961,0.4689,0.5,0.8333,0.3868,0.8583,5,7,False
T00409,K00967,C0072,0.4848,0.5107,0.8118,1.0,0.4228,0.9348,5,9,True
T00410,K01049,C0099,0.3598,0.4572,0.6837,0.75,0.1956,0.9517,5,7,False
T00411,K01063,C0108,0.6323,0.3705,0.4857,1.0,0.3466,0.8859,5,7,False
T00412,K01406,C0024,0.8492,0.6488,0.4793,1.0,0.1559,0.8097,6,7,False
T00413,K00810,C0085,0.952,0.5434,0.3647,1.0,0.7735,0.9593,7,8,True
T00414,K01444,C0070,0.605,0.5105,0.8644,0.75,0.4244,0.9768,6,6,False
T00415,K01433,C0096,0.5442,0.5654,0.7489,1.0,0.3502,0.9717,5,9,False
T00416,K00882,C0094,0.5018,0.513,0.8082,1.0,0.3683,0.7959,5,9,False
T00417,K00675,C0009,0.7199,0.5874,0.8918,0.8333,0.6638,0.7941,6,7,False
T00418,K00878,C0111,0.855,0.5749,0.8112,0.8333,0.6158,0.902,6,7,True
T00419,K01233,C0072,0.6926,0.5961,0.5439,1.0,0.5483,0.9152,5,9,False
T00420,K00723,C0114,0.2704,0.2689,0.6614,0.75,0.2468,0.9713,4,7,False
T00421,K01299,C0058,0.9295,0.5642,0.511,0.875,0.8854,0.8571,7,7,False
T00422,K00937,C0088,0.7996,0.5713,0.2787,1.0,0.5919,0.8919,5,8,False
T00423,K01381,C0019,0.7031,0.4522,0.5469,1.0,0.5798,0.9347,6,8,False
T00424,K00680,C0088,0.5125,0.3918,0.502,0.75,0.5845,0.8994,5,6,False
T00425,K00685,C0048,0.5767,0.4614,0.3967,0.75,0.4966,0.9295,6,7,True
T00426,K01206,C0042,0.8005,0.578,0.6481,1.0,0.2224,0.9539,6,8,False
T00427,K00905,C0063,0.6144,0.4633,0.3922,0.8333,0.5314,0.7771,6,7,False
T00428,K00971,C0002,0.9911,0.4249,0.6703,1.0,0.2409,0.9571,5,9,False
T00429,K01345,C0112,0.41,0.2234,0.5388,0.75,0.39,0.9602,4,6,False
T00430,K00691,C0103,0.6246,0.3679,0.7588,0.75,0.8055,0.9646,6,7,False
T00431,K00945,C0108,0.3408,0.0594,0.1354,0.75,0.3287,0.8709,2,6,True
T00432,K01300,C0017,0.807,0.6545,0.6336,1.0,0.3955,0.9566,8,9,False
T00433,K00888,C0063,0.6498,0.497,0.5921,1.0,0.5314,0.8381,6,8,False
T00434,K01384,C0117,0.5446,0.4675,0.6521,1.0,0.4618,0.8856,5,7,False
T00435,K00926,C0031,0.3494,0.2602,0.6977,0.5,0.2498,0.9972,3,6,True
T00436,K01357,C0071,0.5192,0.4908,0.7382,0.8333,0.2298,0.894,6,8,True
T00437,K01259,C0092,0.8163,0.5808,0.7279,1.0,0.48,0.5213,6,8,False
T00438,K01459,C0035,0.5553,0.7558,0.884,1.0,0.7568,0.9156,6,9,False
T00439,K01307,C0094,0.5336,0.566,0.7756,0.75,0.3064,0.8638,6,8,False
T00440,K01422,C0116,0.7607,0.5867,0.9128,1.0,0.4339,0.6353,7,10,False
T00441,K00889,C0085,0.239,0.3361,0.801,0.5,0.3839,0.9521,6,5,False
T00442,K01435,C0018,0.2589,0.3911,0.8436,0.3333,0.0974,0.9137,5,5,True
T00443,K01150,C0108,0.3969,0.3172,0.5546,0.75,0.3466,0.9346,3,6,False
T00444,K00725,C0053,0.685,0.5594,0.6198,0.8333,0.6641,0.9513,6,7,False
T00445,K00755,C0034,0.9363,0.5135,0.4091,1.0,0.6993,0.936,6,7,False
T00446,K01398,C0095,0.5561,0.5189,0.9178,1.0,0.7331,0.922,5,9,False
T00447,K01310,C0073,0.2908,0.3701,0.732,0.75,0.4377,0.7793,4,7,True
T00448,K01432,C0030,0.6789,0.4348,0.3351,1.0,0.6724,0.9538,4,8,False
T00449,K01158,C0017,0.6147,0.5563,0.4972,1.0,0.4955,0.8942,5,7,False
T00450,K01071,C0045,0.8138,0.6066,0.7293,1.0,0.7126,0.9241,7,9,True
T00451,K00965,C0114,0.3038,0.2632,0.4594,1.0,0.2468,0.791,3,7,True
T00452,K00814,C0104,0.6905,0.4252,0.2901,0.75,0.5871,0.888,5,5,True
T00453,K00907,C0114,0.6601,0.5756,0.6404,1.0,0.3236,0.9954,6,8,False
T00454,K01087,C0055,0.8689,0.6285,0.584,1.0,0.1884,0.8305,6,8,False
T00455,K00981,C0072,0.8614,0.5774,0.6963,1.0,0.5483,0.7456,7,8,False
T00456,K01035,C0072,0.7764,0.6573,0.8538,1.0,0.4356,0.9196,6,10,False
T00457,K00819,C0039,0.7145,0.4827,0.5305,1.0,0.2504,0.9873,6,8,False
T00458,K00974,C0022,0.5801,0.4709,0.7036,1.0,0.5559,0.9095,5,9,False
T00459,K01017,C0092,0.7187,0.4489,0.5843,1.0,0.0676,0.9646,5,8,True
T00460,K01164,C0108,0.3632,0.3952,0.5177,0.5,0.3852,0.7508,5,5,True
T00461,K00931,C0094,0.695,0.7132,0.8385,1.0,0.3683,0.8641,6,10,False
T00462,K01184,C0072,0.5013,0.3997,0.9473,1.0,0.4356,0.962,4,9,True
T00463,K01414,C0059,0.3502,0.3955,0.5805,0.5,0.6274,0.9719,4,4,False
T00464,K00828,C0067,0.6625,0.555,0.5133,1.0,0.5524,0.7741,6,8,True
T00465,K01447,C0093,0.9721,0.6375,0.8259,1.0,0.6502,0.9377,8,9,False
T00466,K01257,C0006,0.6612,0.6624,0.659,0.875,0.6445,0.8779,7,8,False
T00467,K00894,C0110,0.6751,0.606,0.3183,1.0,0.6991,0.9444,6,8,False
T00468,K00876,C0006,0.5049,0.3982,0.1846,1.0,0.6843,0.9791,2,8,False
T00469,K01370,C0094,0.4424,0.3129,0.561,0.75,0.3064,0.7523,4,6,False
T00470,K01147,C0114,0.5648,0.545,0.4945,1.0,0.2468,0.8264,4,8,False
T00471,K01120,C0008,0.7031,0.4332,0.2539,1.0,0.5669,0.798,6,8,True
T00472,K01130,C0097,0.8903,0.4239,0.2043,1.0,0.6437,0.9874,6,8,False
T00473,K01265,C0040,0.6401,0.5675,0.2422,0.8333,0.6862,0.6792,5,6,False
T00474,K01108,C0032,0.9629,0.7703,0.8274,1.0,0.6018,0.8949,9,9,True
T00475,K01330,C0102,0.7956,0.5898,0.5112,0.75,0.7671,0.8787,7,6,False
T00476,K01129,C0071,0.7728,0.7638,0.6981,0.8333,0.4341,0.7927,7,7,False
T00477,K01209,C0119,0.6796,0.4709,0.8931,1.0,0.4456,0.8287,8,8,False
T00478,K00847,C0111,0.8231,0.5997,0.7934,1.0,0.652,0.944,8,9,False
T00479,K00815,C0058,0.7903,0.4429,0.5083,0.875,0.8854,0.8783,6,7,False
T00480,K01374,C0064,0.5362,0.484,0.7752,0.8333,0.4449,0.9535,4,7,False
T00481,K00721,C0045,0.3495,0.5606,0.5028,0.8333,0.7126,0.6732,4,8,False
T00482,K00940,C0012,0.7468,0.656,0.6711,0.8333,0.6014,0.9122,5,7,False
T00483,K00773,C0066,0.7224,0.5589,0.6919,0.8333,0.4566,0.9464,7,7,False
T00484,K00715,C0052,0.5581,0.5111,0.6098,0.75,0.5104,0.9673,6,7,False
T00485,K00748,C0025,0.6216,0.5097,0.4759,0.875,0.6046,0.9914,5,8,True
T00486,K01331,C0039,0.9813,0.7286,0.4952,1.0,0.2408,0.9481,8,9,False
T00487,K01173,C0006,0.6102,0.613,0.9212,1.0,0.6445,0.8833,6,10,True
T00488,K00807,C0006,0.6791,0.5156,0.9653,1.0,0.6843,0.9596,5,9,False
T00489,K00955,C0083,0.269,0.4665,0.8065,0.3333,0.1612,0.9255,5,5,False
T00490,K01030,C0068,0.5321,0.431,0.8421,0.25,0.676,0.9753,6,5,True
T00491,K00887,C0084,0.1016,0.0,0.5051,0.6667,0.3213,0.8427,3,6,False
T00492,K01076,C0015,0.5162,0.3138,0.275,0.625,0.581,0.905,4,6,False
T00493,K00954,C0013,0.137,0.3503,0.8268,0.0,0.8026,0.9582,4,3,False
T00494,K01263,C0097,0.767,0.53,0.3401,0.8333,0.6437,0.9085,5,7,False
T00495,K01189,C0075,0.9986,0.7095,0.262,0.8333,0.8681,0.9918,6,6,False
T00496,K00789,C0107,0.6843,0.6566,0.8483,1.0,0.4681,0.9451,7,8,False
T00497,K00757,C0081,0.599,0.3767,0.5144,1.0,0.6119,0.9774,4,8,True
T00498,K00925,C0103,0.8895,0.2583,0.0716,1.0,0.7432,0.9621,4,6,False
T00499,K00699,C0104,0.8101,0.6022,0.8547,0.75,0.5871,0.9441,6,8,False
T00500,K00868,C0034,0.8316,0.6637,0.7353,1.0,0.6993,0.9076,7,9,False
T00501,K01046,C0065,0.1673,0.4621,0.9082,0.5,0.1848,0.9411,6,7,False
T00502,K01223,C0099,0.7012,0.3883,0.6286,1.0,0.4657,0.9852,5,8,False
T00503,K00960,C0040,0.5743,0.4016,0.6644,0.75,0.6094,0.9681,5,6,False
T00504,K01098,C0114,0.5716,0.5499,0.6478,1.0,0.2468,0.917,6,9,True
T00505,K00837,C0106,0.7774,0.5042,0.5682,1.0,0.813,0.9044,6,6,False
T00506,K01467,C0058,0.7359,0.5638,0.7835,0.8333,0.8854,0.8863,7,10,False
T00507,K01360,C0114,0.9605,0.658,0.6828,1.0,0.1733,0.901,8,8,True
T00508,K01241,C0045,0.708,0.4275,0.2397,0.875,0.7126,0.877,4,8,True
T00509,K00718,C0101,0.842,0.509,0.5509,1.0,0.5686,0.7641,6,9,False
T00510,K01352,C0012,0.5588,0.3596,0.4374,0.8333,0.6014,0.6264,4,7,True
T00511,K01377,C0019,0.4211,0.3091,0.5527,0.75,0.2609,0.9265,4,7,False
T00512,K01221,C0108,0.4078,0.2993,0.2652,0.75,0.3466,0.9342,3,6,False
T00513,K00963,C0028,0.8642,0.4119,0.3345,1.0,0.735,0.8371,5,7,False
T00514,K00992,C0068,0.8455,0.6401,0.8725,1.0,0.676,0.799,6,9,False
T00515,K00690,C0084,0.7386,0.388,0.7531,1.0,0.4192,0.9309,6,9,True
T00516,K01012,C0070,0.9868,0.7941,0.6042,0.875,0.4244,0.9476,8,7,False
T00517,K00909,C0089,0.8069,0.8199,0.8312,1.0,0.9804,0.8574,6,8,False
T00518,K00932,C0073,0.4709,0.5268,0.8474,0.75,0.4377,0.9066,5,7,False
T00519,K01256,C0114,0.7181,0.432,0.2217,1.0,0.2468,0.9391,5,8,False
T00520,K00670,C0052,0.3918,0.2165,0.476,0.3333,0.4897,0.9441,4,5,False
T00521,K01202,C0001,0.3813,0.3233,0.6126,1.0,0.6209,0.9726,4,8,False
T00522,K00780,C0051,0.6418,0.6745,0.8253,0.6667,0.248,0.9652,6,6,True
T00523,K00989,C0001,0.5927,0.5767,0.7651,1.0,0.7166,0.8054,6,8,False
T00524,K01388,C0094,0.5148,0.5341,0.8191,1.0,0.2578,0.9205,6,10,True
T00525,K00901,C0039,0.4665,0.4829,0.6954,1.0,0.2408,0.909,5,9,False
T00526,K01053,C0036,0.8215,0.4854,0.3176,1.0,0.5764,0.8987,7,8,False
T00527,K01001,C0112,0.2922,0.4204,0.8535,0.3333,0.34,0.8845,4,7,False
T00528,K01007,C0077,0.729,0.6361,0.9227,1.0,0.5911,0.9376,6,10,False
T00529,K01474,C0113,0.5709,0.5381,0.5459,0.5,0.646,0.9196,5,7,False
T00530,K01380,C0101,0.7994,0.6861,0.8012,1.0,0.719,0.9801,6,9,False
T00531,K01033,C0095,0.8477,0.7813,0.3847,1.0,0.7331,0.9475,7,8,False
T00532,K01101,C0080,0.6259,0.6226,0.5814,1.0,0.2946,0.9269,7,9,False
T00533,K01232,C0090,0.1915,0.189,0.3753,0.5,0.1962,0.8412,2,5,True
T00534,K00674,C0010,0.5605,0.4146,0.4508,0.5,0.2927,0.8987,5,5,False
T00535,K00714,C0093,0.4185,0.5101,0.6536,0.6667,0.6502,0.9022,5,7,False
T00536,K01000,C0101,0.9105,0.606,0.5967,0.75,0.5686,0.944,6,7,False
T00537,K00869,C0030,0.5991,0.4893,0.4397,1.0,0.6724,0.9284,5,8,True
T00538,K01045,C0034,0.793,0.6298,0.5266,1.0,0.8531,0.9181,6,8,False
T00539,K01368,C0094,0.6386,0.343,0.3725,1.0,0.3683,0.7808,5,7,True
T00540,K01237,C0088,0.533,0.591,0.6224,1.0,0.5919,0.8184,6,7,False
T00541,K01037,C0103,0.6054,0.586,0.5958,1.0,0.7432,0.8902,6,9,False
T00542,K00920,C0031,0.5369,0.4741,0.6025,1.0,0.3135,0.9228,5,8,False
T00543,K00805,C0072,0.4258,0.4389,0.6337,1.0,0.4228,0.8807,4,8,False
T00544,K01054,C0082,0.6049,0.2655,0.3594,1.0,0.5546,0.976,3,7,False
T00545,K01375,C0066,0.3769,0.4111,0.7363,0.5,0.5472,0.9388,4,6,False
T00546,K00991,C0116,0.5952,0.5768,0.7739,1.0,0.4339,0.8299,5,9,False
T00547,K01492,C0066,0.5389,0.3743,0.851,0.75,0.4566,0.8851,6,7,False
T00548,K01176,C0005,0.8607,0.7121,0.6879,0.75,0.5118,0.9541,8,8,False
T00549,K00863,C0084,0.6013,0.4498,0.8736,0.75,0.4192,0.9238,6,8,False
T00550,K01083,C0084,0.7112,0.5903,0.5863,0.75,0.4192,0.9433,6,6,False
T00551,K01358,C0039,0.5866,0.3728,0.5413,1.0,0.2504,0.7873,3,9,False
T00552,K01424,C0116,0.526,0.548,0.8629,1.0,0.3323,0.9371,6,9,False
T00553,K00827,C0116,0.6575,0.5009,0.5447,1.0,0.4339,0.897,6,8,False
T00554,K01139,C0025,0.6398,0.5528,0.7573,1.0,0.6046,0.9415,6,9,False
T00555,K00975,C0092,0.823,0.4662,0.6753,0.8333,0.48,0.8898,5,7,False
T00556,K01250,C0106,0.6178,0.2999,0.324,0.5,0.813,0.9274,3,4,True
T00557,K00938,C0039,0.4012,0.5292,0.9631,1.0,0.2408,0.8364,5,8,True
T00558,K01218,C0112,0.7316,0.6283,0.8272,0.875,0.39,0.9134,7,7,False
T00559,K00986,C0002,0.6966,0.4165,0.4322,1.0,0.622,0.9132,6,8,False
T00560,K01234,C0120,0.8178,0.6923,0.6933,1.0,0.2787,0.8278,7,8,False
T00561,K01262,C0119,0.73,0.4752,0.7592,1.0,0.4456,0.9241,6,8,False
T00562,K01361,C0073,0.6248,0.3527,0.6349,0.75,0.4377,0.8369,5,6,False
T00563,K00792,C0067,0.5331,0.463,0.6565,1.0,0.5524,0.9432,6,9,True
T00564,K00658,C0048,0.3957,0.131,0.3795,0.6667,0.1942,0.9764,3,7,False
T00565,K00959,C0036,0.7199,0.6628,0.5109,0.6667,0.2673,0.8589,6,5,False
T00566,K00790,C0096,0.8276,0.6911,0.8063,1.0,0.3502,0.952,6,9,False
T00567,K01311,C0072,0.7583,0.7872,0.9157,1.0,0.5483,0.9812,9,9,True
T00568,K01195,C0088,0.3623,0.4636,0.9055,0.75,0.2292,0.9738,5,8,False
T00569,K01315,C0053,0.5154,0.3887,0.404,0.8333,0.6641,0.9305,4,6,False
T00570,K01389,C0068,0.618,0.7877,0.6858,1.0,0.676,0.775,8,9,False
T00571,K00701,C0035,0.7516,0.5786,0.7622,1.0,0.7568,0.8513,7,9,False
T00572,K00982,C0081,0.839,0.6598,0.6418,1.0,0.6119,0.9572,6,8,False
T00573,K00774,C0114,0.9008,0.494,0.4097,1.0,0.2468,0.9237,7,8,False
T00574,K01296,C0031,0.7326,0.5762,0.67,1.0,0.1852,0.9093,7,7,False
T00575,K01344,C0090,0.4014,0.4371,0.6742,0.5,0.4987,0.8782,4,5,False
T00576,K00957,C0094,0.4315,0.2831,0.2286,1.0,0.2578,0.8045,3,8,False
T00577,K00784,C0025,0.7892,0.776,0.6082,1.0,0.6046,0.893,7,9,False
T00578,K01383,C0030,0.8537,0.5565,0.5504,1.0,0.6724,0.9325,5,7,False
T00579,K00752,C0091,0.7303,0.4273,0.5166,1.0,0.7874,0.9889,5,8,True
T00580,K00696,C0095,0.6043,0.3489,0.1431,0.8333,0.7331,0.9237,4,6,True
T00581,K01074,C0102,0.5443,0.5018,0.5407,1.0,0.7671,0.9637,5,8,True
T00582,K00806,C0049,0.8182,0.5522,0.9271,1.0,0.642,0.9072,6,8,False
T00583,K00856,C0072,0.6908,0.4702,0.7399,1.0,0.4356,0.8449,6,8,False
T00584,K01152,C0075,0.3326,0.307,0.4687,0.625,0.8681,0.9723,5,6,False
T00585,K00776,C0052,0.6438,0.5811,0.8192,0.75,0.4897,0.8679,7,7,True
T00586,K00793,C0002,0.6528,0.5908,0.6469,1.0,0.6233,0.9556,6,8,False
T00587,K01044,C0009,0.8677,0.6695,0.9102,0.8333,0.761,0.9383,8,8,True
T00588,K01295,C0116,0.8507,0.4732,0.507,1.0,0.4451,0.9837,6,8,False
T00589,K01272,C0006,0.6104,0.4859,0.5503,1.0,0.6445,0.8903,5,8,True
T00590,K00829,C0017,0.488,0.4596,0.5351,0.75,0.3955,0.8651,4,7,False
T00591,K01027,C0013,1.0,0.7592,0.3413,1.0,0.7336,0.7921,7,7,False
T00592,K01114,C0119,0.6963,0.5923,0.3552,1.0,0.4456,0.7906,5,9,False
T00593,K01359,C0031,0.7217,0.4808,0.9348,1.0,0.3135,0.9182,6,9,False
T00594,K00985,C0048,0.8316,0.7225,0.8444,0.875,0.4966,0.9814,7,9,True
